year,iso3c,employed,total_hours
2003,HRV,1585571,3050461000
2003,CYP,340105,651665000
2003,MLT,148821,326916000
2003,MKD,599279,NA
2003,ROU,9569400,17579561000
2003,ZAF,11812429.75,NA
2004,AUT,3827515,6793307000
2004,CAN,16179225,28423287000
2004,CRI,1615320,3837035000
2004,CZE,4828886,8757628000
2004,DNK,2744153,4001178000
2004,EST,598700,1189294000
2004,FIN,2382500,3997100000
2004,DEU,39370000,56797160000
2004,GRC,4606833,9735132000
2004,IRL,1946143,3520990000
2004,ISR,2774493.352,5455264000
2004,ITA,24183100,43132075000
2004,JPN,65010000,NA
2004,LVA,960619,1979501000
2004,LTU,1413220,2693630000
2004,LUX,299305,474752000
2004,NLD,8293000,12092734000
2004,NOR,2292000,3262000000
2004,POL,13760300,28683797000
2004,PRT,5064184,9602129000
2004,SVK,2055726,3581070000
2004,SVN,934366,1622557000
2004,ESP,18999500,32965055000
2004,SWE,4402600,7055700000
2004,CHE,4114564.3529999997,6973987000
2004,GBR,28533454,47212419000
2004,USA,141569000,249013000000
2004,BRA,87942470.47099999,NA
2004,BGR,3403395,5662198000
2004,HRV,1597565,3076415000
2004,CYP,353611,664283000
2004,MLT,149371,313384000
2004,MKD,559934,NA
2004,ZAF,12043837.5,NA
2005,AUT,3873583,6779468000
2005,CAN,16426294.999999998,28698818000
2005,CRI,1722026,4060273000
2005,CZE,4922640,8873944000
2005,DNK,2783163,4039378000
2005,EST,612300,1229727000
2005,FIN,2418900,4032400000
2005,DEU,39322000,56304911000
2005,GRC,4652092,10071111000
2005,IRL,2037007,3688162000
2005,ISR,2869994.749,5616868000
2005,ITA,24306500,43262191000
2005,JPN,65531000,NA
2005,LVA,969150,2041381000
2005,LTU,1423965,2715952000
2005,LUX,307523,481751000
2005,MEX,41764122,95402532000
2005,NLD,8346000,12053974000
2005,NOR,2319000,3313000000
2005,POL,14057000,29225184000
2005,PRT,5040959,9568468000
2005,SVK,2088909,3696301000
2005,SVN,929843,1577524000
2005,ESP,19808300,34029987000
2005,SWE,4400800,7048850000
2005,CHE,4144663.609,7004352000
2005,GBR,28853150,48249271000
2005,USA,143980000,252385000000
2005,BRA,90538825.983,NA
2005,BGR,3495268,5797417000
2005,HRV,1612280,3104539000
2005,CYP,366457,676963000
2005,MLT,151259,327835000
2005,MKD,587475,NA
2005,ROU,9159140,17191595000
2005,ZAF,12768858.71,NA
2006,AUT,3941309,6831827000
2006,BEL,4321400,6878103000
