year,country,iso3c,pop,gdp_over_pop,gdp_ppp_over_pop,gdp_ppp_over_population_15_to_65,gdp_ppp_over_pop_adjusted_for_hours,gdp_over_pop_rank,gdp_ppp_over_pop_rank,gdp_ppp_over_population_15_to_65_rank,gdp_ppp_over_pop_adjusted_for_hours_rank
2023,Sierra Leone,SLE,8791092,433.3741743300593,1846.6838573637951,3167.207499872702,2416.5721796329467,178,172,176,172
2023,El Salvador,SLV,6364943,5344.214394378709,12542.3090140573,18829.875094934945,12927.295141655632,107,113,114,112
2023,Somalia,SOM,18143378,643.75002880678,1611.2841690175003,3197.434555262989,2108.527932815308,173,177,175,177
2023,Serbia,SRB,6618026,11360.95951069662,27401.789074534157,42174.18603583901,30611.550010328447,74,68,66,67
2023,Sao Tome and Principe,STP,231856,2601.7905465211466,6063.64509698688,10583.670824226792,8627.249588918647,131,140,138,131
2023,Suriname,SUR,623236,6069.028900838895,21047.182556835774,31697.235039235875,20561.08799073043,101,83,83,86
2023,Slovak Republic,SVK,5426740,24470.238537882964,44650.20283050745,66217.83813735475,53150.92617979103,42,46,47,34
2023,Slovenia,SVN,2120937,32163.51141524845,54947.47013723981,86369.84134206393,57638.2578998313,34,30,27,26
2023,Sweden,SWE,10536632,56305.250200767,70206.61163651146,112956.63128271376,85345.9540180958,13,17,12,9
2023,Eswatini,SWZ,1210822,3797.3012094616383,11740.815277329451,19053.106824611095,16663.46952810202,121,114,113,101
2023,Seychelles,SYC,119773,17879.23965450744,32693.64026228783,47714.27810029488,45121.66576467659,57,60,60,50
2023,Chad,TCD,18278568,719.3848751575233,1969.3031351807265,3888.7107137891344,2609.9489921652853,170,169,169,169
2023,Togo,TGO,9053799,1012.9738726321006,3155.320000384844,5518.085941345111,4129.054629661661,162,161,161,156
2023,Thailand,THA,71801279,7171.808093189788,23422.924193257197,34036.68942617074,17925.755781502125,91,77,79,94
2023,Tajikistan,TJK,10143543,1188.9930381177269,5082.171802937298,8430.289417202386,6326.962276115288,159,146,145,143
2023,Timor-Leste,TLS,1360596,1648.6472902034182,5108.705038057021,8425.813945264907,4848.462335136469,150,145,146,152
2023,Tonga,TON,107773,4762.621857380204,7137.673426697658,11943.5539338191,6507.05533532951,110,132,131,142
2023,Trinidad and Tobago,TTO,1534937,18332.964017605347,31572.1010218751,45588.81702098944,32924.75688913459,56,62,63,64
2023,Tunisia,TUN,12458223,3895.386638740798,13681.611089496471,20729.12177981048,13274.954964568562,118,110,112,110
2023,Turkiye,TUR,85326000,12985.753149796194,44151.024893186834,64846.86120251677,61434.347734860574,67,48,49,25
2023,Tuvalu,TUV,11396,5465.102806705616,5763.454913795542,9360.17275154824,5535.110459446718,106,141,142,147
2023,Tanzania,TZA,67438106,1173.791659177439,3850.3620232317617,7158.631040029632,5474.6714334815015,160,155,152,149
2023,Uganda,UGA,48582334,1014.2139777315556,3098.1110163348885,5752.854561990121,4054.190900968249,161,163,158,158
2023,Uruguay,URY,3423108,22564.532462068684,34061.51294967468,52026.8305892541,40632.62981018536,47,57,56,54
2023,United States,USA,334914895,81695.18707133047,81695.18707133016,126195.02570875143,83445.18034464272,6,9,7,10
2023,Uzbekistan,UZB,36412350,2496.107757580362,9724.734008080251,15081.477933648346,11877.543642524852,135,121,120,115
2023,St. Vincent and the Grenadines,VCT,103698,10279.49394359544,19875.689173992843,29521.86802212576,20490.848032351227,77,85,87,87
2023,Viet Nam,VNM,98858950,4346.768492378212,15194.34278348445,22260.629232697833,11780.703201209571,114,104,105,116
2023,Vanuatu,VUT,334506,3367.0946387186773,3315.073447120769,5799.38475881524,3015.065272694883,127,158,157,167
2023,Samoa,WSM,225681,4139.029587230001,6680.611385593249,11678.262599433549,6547.523995637366,116,136,133,141
2023,South Africa,ZAF,60414495,6253.161612720142,15847.42756045247,24066.3345403142,25417.61882205755,100,101,100,77
2023,Zambia,ZMB,20569737,1369.129364849366,4125.625555550827,7395.915331052069,5866.057331216264,156,152,150,146
2023,Zimbabwe,ZWE,16665409,1592.4165736854163,3899.8992334924874,6911.536638623771,5309.507895727583,152,153,153,151
